,tconst,pTitle,Year,runtimeMinutes,numVotes,wiki_key,Runtime_minutes,action,adventure,animation,biographical,comedy,crime,drama,documentary,fantasy,historical,horror,musical,mystery,romance,science_fiction,sport,thriller,war,western,academy_award,bafta,United_States,India,United_Kingdom,Canada,English,French,Japanese,Italian,Spanish,Budget,Budget_cleaned,Box_office,Box_office_cleaned,profit_pc,missing_finances
149,tt0028988,heidi,1937,88,4406.0,Heidi_(1937_film),88,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
150,tt0029146,the life of emile zola,1937,116,,The_Life_of_Emile_Zola,116,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
151,tt0029192,make way for tomorrow,1937,91,8144.0,Make_Way_for_Tomorrow,92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
152,tt0029217,marked woman,1937,96,4051.0,Marked_Woman,84,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
153,tt0029284,my favorite wife,1940,88,10183.0,My_Favorite_Wife,88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$921,000[1]""",921000.0,"""$2,057,000[1]""",2057000.0,123.3441910966341,0
154,tt0029310,night must fall,1937,116,2497.0,Night_Must_Fall_(1937_film),116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$589,000 (est.)""",589000.0,"""$1,015,000 (worldwide est.)""",1015000.0,72.32597623089983,0
155,tt0029314,humanity and paper balloons,1937,86,1995.0,Humanity_and_Paper_Balloons,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0.0,,0.0,0.0,1
156,tt0029440,the prince and the pauper,1937,118,2482.0,The_Prince_and_the_Pauper_(1937_film),118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$858,000[1]""",858000.0,"""$1,691,000[1]""",1691000.0,97.08624708624708,0
157,tt0029442,the prisoner of zenda,1937,101,,The_Prisoner_of_Zenda_(1937_film),101,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$1,250,000[1]""",1250000.0,"""$2.5 million (U.S. and Canada rentals)[2]""",2500000.0,100.0,0
158,tt0029608,stella dallas,1937,106,5254.0,Stella_Dallas_(1937_film),106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,"""$2 million (U.S. and Canada rentals)[1][2]""",2000000.0,0.0,1
159,tt0029747,way out west,1937,66,8109.0,Way_Out_West_(1937_film),65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
160,tt0029844,the adventures of tom sawyer,1938,91,1967.0,The_Adventures_of_Tom_Sawyer_(1938_film),91,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$1.5 million[2]""",1500000.0,"""$2 million (U.S. and Canada rentals)[3]""",2000000.0,33.33333333333333,0
161,tt0029850,alexander nevsky,1938,112,11088.0,Alexander_Nevsky_(film),111,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,0.0,1
162,tt0029942,boys town,1938,96,5544.0,Boys_Town_(film),93,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,"""$772,000[1]""",772000.0,"""$4,058,000[1]""",4058000.0,425.6476683937824,0
163,tt0029947,bringing up baby,1938,102,59515.0,Bringing_Up_Baby,102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$1.1 million""",1100000.0,"""$1.1 million""",1100000.0,0.0,0
164,tt0029957,la bete humaine,1938,100,7375.0,La_Bête_Humaine_(film),100,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,,0.0,0.0,1
165,tt0029995,the citadel,1938,110,2066.0,The_Citadel_(1938_film),110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"""$1,012,000""",1012000.0,"""$987,000 (Domestic earnings)$1,611,000 (Foreign earnings)""",987000.0,-2.4703557312252933,0
166,tt0030044,the dawn patrol,1938,103,,The_Dawn_Patrol_(1938_film),103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$500,000[1][2]""",500000.0,"""$2,185,000[2]""",2185000.0,337.0,0
167,tt0030127,the bakers wife,1938,133,1991.0,The_Baker's_Wife_(film),133,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,,0.0,0.0,1
168,tt0030241,holiday,1938,95,15746.0,Holiday_(1938_film),95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
169,tt0030252,hotel du nord,1938,95,2613.0,Hôtel_du_Nord,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,,0.0,0.0,1
170,tt0030341,the lady vanishes,1938,96,50707.0,The_Lady_Vanishes,97,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,,0.0,,0.0,0.0,1
171,tt0030522,olympia part one festival of the nations,1938,121,4727.0,Olympia_(1938_film),226,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""2.8 million ℛ︁ℳ︁""",2800000.0,,0.0,0.0,1
172,tt0030637,pygmalion,1938,96,8475.0,Pygmalion_(1938_film),96,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,"""£87,000[1]""",87000.0,"""$1.4 million[2]""",1400000.0,1509.1954022988507,0
173,tt0031002,the young in heart,1938,90,1332.0,The_Young_in_Heart,90,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
174,tt0031022,the adventures of sherlock holmes,1939,85,6616.0,The_Adventures_of_Sherlock_Holmes_(film),81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
175,tt0031088,beau geste,1939,112,,Beau_Geste_(1939_film),112,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
176,tt0031143,the cat and the canary,1939,72,2967.0,The_Cat_and_the_Canary_(1939_film),72,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
177,tt0031147,charlie chan at treasure island,1939,74,,Charlie_Chan_at_Treasure_Island,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
178,tt0031149,charlie chan in reno,1939,71,1366.0,Charlie_Chan_in_Reno,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
179,tt0031210,dark victory,1939,104,10794.0,Dark_Victory,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$1 million (est)[1]""",1000000.0,,0.0,0.0,1
180,tt0031225,destry rides again,1939,95,11094.0,Destry_Rides_Again,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"""$700,000[1] or $765,000[2]""",700000765000.0,"""$1.6 million[3]""",1600000.0,-99.99977142882123,1
181,tt0031235,dodge city,1939,104,5061.0,Dodge_City_(film),104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,"""$1,061,000[1][2][3]""",1061000.0,"""$2,532,000[1]""",2532000.0,138.64278982092367,0
182,tt0031359,gaslight,1940,84,4265.0,Gaslight_(1940_film),89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,,0.0,,0.0,0.0,1
183,tt0031381,gone with the wind,1939,238,303845.0,Gone_with_the_Wind_(film),221,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,"""$3.85 million""",3850000.0,""">$390 million""",390000000.0,10029.87012987013,0
184,tt0031385,goodbye mr chips,1939,114,10311.0,"Goodbye,_Mr._Chips_(1939_film)",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,"""$1,051,000[2]""",1051000.0,"""$3,252,000[2]""",3252000.0,209.41960038058994,0
185,tt0031387,the gorilla,1939,66,1426.0,The_Gorilla_(1939_film),66,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$175,000[1]""",175000.0,,0.0,0.0,1
186,tt0031398,gunga din,1939,117,11628.0,Gunga_Din_(film),117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$1,915,000[1]""",1915000.0,"""$2,807,000[1]""",2807000.0,46.57963446475195,0
187,tt0031477,in name only,1939,94,2978.0,In_Name_Only,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"""$722,000[1]""",722000.0,"""$1,321,000[1]""",1321000.0,82.96398891966759,0
188,tt0031507,jesse james,1939,106,4361.0,Jesse_James_(1939_film),106,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"""$1.6 million""",1600000.0,"""$2.335 million (U.S. and Canada rentals)[1]""",2335000.0,45.93750000000001,0
189,tt0031514,le jour se leve,1939,93,7394.0,Le_jour_se_lève,93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,,0.0,0.0,1
190,tt0031580,the little princess,1939,93,5980.0,The_Little_Princess_(1939_film),93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""over $1 million[1] or $1.3 million[2]""",11300000.0,,0.0,0.0,1
191,tt0031619,the man in the iron mask,1939,113,1662.0,The_Man_in_the_Iron_Mask_(1939_film),96,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$1 million[1]""",1000000.0,,0.0,0.0,1
192,tt0031647,midnight,1939,94,4904.0,Midnight_(1939_film),94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
193,tt0031750,the old maid,1939,95,3676.0,The_Old_Maid_(1939_film),95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
194,tt0031754,on borrowed time,1939,99,1896.0,On_Borrowed_Time,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
195,tt0031762,only angels have wings,1939,121,13595.0,Only_Angels_Have_Wings,121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,"""$1 million""",1000000.0,0.0,1
196,tt0031826,the private lives of elizabeth and essex,1939,106,5507.0,The_Private_Lives_of_Elizabeth_and_Essex,106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$1.07 million[1][2]""",1070000.0,"""$1.61 million[1]""",1610000.0,50.46728971962617,0
197,tt0031851,the return of doctor x,1939,62,2157.0,The_Return_of_Doctor_X,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
198,tt0031867,the roaring twenties,1939,106,13611.0,The_Roaring_Twenties,107,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
199,tt0031951,son of frankenstein,1939,99,9957.0,Son_of_Frankenstein,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$420,000""",420000.0,,0.0,0.0,1
200,tt0032080,union pacific,1939,135,2941.0,Union_Pacific_(film),135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
201,tt0032143,the women,1939,133,13466.0,The_Women_(1939_film),133,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,"""$1,688,000[1]""",1688000.0,"""$2,270,000[1]""",2270000.0,34.478672985782,0
202,tt0032155,young mr lincoln,1939,100,7926.0,Young_Mr._Lincoln,100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"""$1,500,000 (estimated)""",1500000.0,,0.0,0.0,1
203,tt0032156,the story of the last chrysanthemum,1939,143,3600.0,The_Story_of_the_Last_Chrysanthemums,143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0.0,,0.0,0.0,1
204,tt0032181,abe lincoln in illinois,1940,110,1792.0,Abe_Lincoln_in_Illinois_(film),110,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$1,004,000[2]""",1004000.0,"""$666,000[2]""",666000.0,-33.66533864541833,0
205,tt0032215,the ape,1940,62,1803.0,The_Ape_(1940_film),,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.0,,0.0,0.0,1
206,tt0032234,the bank dick,1940,72,7073.0,The_Bank_Dick,73,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
207,tt0032284,broadway melody of 1940,1940,102,,Broadway_Melody_of_1940,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
208,tt0032325,charlie chan in panama,1940,67,1365.0,Charlie_Chan_in_Panama,67,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
209,tt0032338,christmas in july,1940,67,3706.0,Christmas_in_July_(film),67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
210,tt0032390,the devil bat,1940,68,2946.0,The_Devil_Bat,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
211,tt0032432,edison the man,1940,107,1600.0,"Edison,_the_Man",107,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$893,000[1]""",893000.0,"""$1,787,000[1]""",1787000.0,100.11198208286673,0
212,tt0032457,the fatal hour,1940,68,1086.0,The_Fatal_Hour_(1940_film),68,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
